code,name,description
B909,Sequelae of respiratory and unspecified tuberculosis,A medical condition known as sequelae of respiratory and unspecified tuberculosis.
B91,Sequelae of poliomyelitis,A medical condition known as sequelae of poliomyelitis.
B92,Sequelae of leprosy,A medical condition known as sequelae of leprosy.
B940,Sequelae of trachoma,A medical condition known as sequelae of trachoma.
B941,Sequelae of viral encephalitis,A medical condition known as sequelae of viral encephalitis.
B942,Sequelae of viral hepatitis,A medical condition known as sequelae of viral hepatitis.
B948,Sequelae of other specified infectious and parasitic diseases,A medical condition known as sequelae of other specified infectious and parasitic diseases.
B949,Sequelae of unspecified infectious and parasitic disease,A medical condition known as sequelae of unspecified infectious and parasitic disease.
B950,"Streptococcus, group A, as the cause of diseases classified else","A medical condition known as streptococcus, group a, as the cause of diseases classified else."
B951,"Streptococcus, group B, as the cause of diseases classified else","A medical condition known as streptococcus, group b, as the cause of diseases classified else."
B9719,Other enterovirus as the cause of diseases classified elsewher,A medical condition known as other enterovirus as the cause of diseases classified elsewher.
B9721,SARS-associated coronavirus as the cause of diseases classifie,A medical condition known as sars-associated coronavirus as the cause of diseases classifie.
B9729,Other coronavirus as the cause of diseases classified elsewher,A medical condition known as other coronavirus as the cause of diseases classified elsewher.
B9730,Unspecified retrovirus as the cause of diseases classified else,A medical condition known as unspecified retrovirus as the cause of diseases classified else.
B9731,Lentivirus as the cause of diseases classified elsewhere,A medical condition known as lentivirus as the cause of diseases classified elsewhere.
B9732,Oncovirus as the cause of diseases classified elsewhere,A medical condition known as oncovirus as the cause of diseases classified elsewhere.
B9733,"Human T-cell lymphotrophic virus, type I [HTLV-I] as the cause","A medical condition known as human t-cell lymphotrophic virus, type i [htlv-i] as the cause."
B9734,"Human T-cell lymphotrophic virus, type II [HTLV-II] as the cau","A medical condition known as human t-cell lymphotrophic virus, type ii [htlv-ii] as the cau."
B9735,"Human immunodeficiency virus, type 2 [HIV 2] as the cause of","A medical condition known as human immunodeficiency virus, type 2 [hiv 2] as the cause of."
B9739,Other retrovirus as the cause of diseases classified elsewhere,A medical condition known as other retrovirus as the cause of diseases classified elsewhere.
B974,Respiratory syncytial virus as the cause of diseases classified el,A medical condition known as respiratory syncytial virus as the cause of diseases classified el.
B975,Reovirus as the cause of diseases classified elsewhere,A medical condition known as reovirus as the cause of diseases classified elsewhere.
B976,Parvovirus as the cause of diseases classified elsewhere,A medical condition known as parvovirus as the cause of diseases classified elsewhere.
B977,Papillomavirus as the cause of diseases classified elsewhere,A medical condition known as papillomavirus as the cause of diseases classified elsewhere.
B9781,Human metapneumovirus as the cause of diseases classified e,A medical condition known as human metapneumovirus as the cause of diseases classified e.
B9789,Other viral agents as the cause of diseases classified elsewher,A medical condition known as other viral agents as the cause of diseases classified elsewher.
B998,Other infectious disease,A medical condition known as other infectious disease.
B999,Unspecified infectious disease,A medical condition known as unspecified infectious disease.
C000,Malignant neoplasm of external upper lip,A medical condition known as malignant neoplasm of external upper lip.
C001,Malignant neoplasm of external lower lip,A medical condition known as malignant neoplasm of external lower lip.
C002,"Malignant neoplasm of external lip, unspecified","A medical condition known as malignant neoplasm of external lip, unspecified."
C003,"Malignant neoplasm of upper lip, inner aspect","A medical condition known as malignant neoplasm of upper lip, inner aspect."
C004,"Malignant neoplasm of lower lip, inner aspect","A medical condition known as malignant neoplasm of lower lip, inner aspect."
C005,"Malignant neoplasm of lip, unspecified, inner aspect","A medical condition known as malignant neoplasm of lip, unspecified, inner aspect."
C006,"Malignant neoplasm of commissure of lip, unspecified","A medical condition known as malignant neoplasm of commissure of lip, unspecified."
C008,Malignant neoplasm of overlapping sites of lip,A medical condition known as malignant neoplasm of overlapping sites of lip.
C009,"Malignant neoplasm of lip, unspecified","A medical condition known as malignant neoplasm of lip, unspecified."
C021,Malignant neoplasm of border of tongue,A medical condition known as malignant neoplasm of border of tongue.
C022,Malignant neoplasm of ventral surface of tongue,A medical condition known as malignant neoplasm of ventral surface of tongue.
C023,"Malignant neoplasm of anterior two-thirds of tongue, part uns","A medical condition known as malignant neoplasm of anterior two-thirds of tongue, part uns."
C024,Malignant neoplasm of lingual tonsil,A medical condition known as malignant neoplasm of lingual tonsil.
C028,Malignant neoplasm of overlapping sites of tongue,A medical condition known as malignant neoplasm of overlapping sites of tongue.
C029,"Malignant neoplasm of tongue, unspecified","A medical condition known as malignant neoplasm of tongue, unspecified."
C030,Malignant neoplasm of upper gum,A medical condition known as malignant neoplasm of upper gum.
C031,Malignant neoplasm of lower gum,A medical condition known as malignant neoplasm of lower gum.
C039,"Malignant neoplasm of gum, unspecified","A medical condition known as malignant neoplasm of gum, unspecified."
C040,Malignant neoplasm of anterior floor of mouth,A medical condition known as malignant neoplasm of anterior floor of mouth.
C041,Malignant neoplasm of lateral floor of mouth,A medical condition known as malignant neoplasm of lateral floor of mouth.
C048,Malignant neoplasm of overlapping sites of floor of mouth,A medical condition known as malignant neoplasm of overlapping sites of floor of mouth.
C049,"Malignant neoplasm of floor of mouth, unspecified","A medical condition known as malignant neoplasm of floor of mouth, unspecified."
C050,Malignant neoplasm of hard palate,A medical condition known as malignant neoplasm of hard palate.
C051,Malignant neoplasm of soft palate,A medical condition known as malignant neoplasm of soft palate.
C052,Malignant neoplasm of uvula,A medical condition known as malignant neoplasm of uvula.
C058,Malignant neoplasm of overlapping sites of palate,A medical condition known as malignant neoplasm of overlapping sites of palate.
C059,"Malignant neoplasm of palate, unspecified","A medical condition known as malignant neoplasm of palate, unspecified."
C060,Malignant neoplasm of cheek mucosa,A medical condition known as malignant neoplasm of cheek mucosa.
C061,Malignant neoplasm of vestibule of mouth,A medical condition known as malignant neoplasm of vestibule of mouth.
C062,Malignant neoplasm of retromolar area,A medical condition known as malignant neoplasm of retromolar area.
C0680,Malignant neoplasm of overlapping sites of unspecified parts,A medical condition known as malignant neoplasm of overlapping sites of unspecified parts.
C0689,Malignant neoplasm of overlapping sites of other parts of mo,A medical condition known as malignant neoplasm of overlapping sites of other parts of mo.
C069,"Malignant neoplasm of mouth, unspecified","A medical condition known as malignant neoplasm of mouth, unspecified."
C07,Malignant neoplasm of parotid gland,A medical condition known as malignant neoplasm of parotid gland.
C080,Malignant neoplasm of submandibular gland,A medical condition known as malignant neoplasm of submandibular gland.
C081,Malignant neoplasm of sublingual gland,A medical condition known as malignant neoplasm of sublingual gland.
C091,Malignant neoplasm of tonsillar pillar (anterior) (posterior),A medical condition known as malignant neoplasm of tonsillar pillar (anterior) (posterior).
C098,Malignant neoplasm of overlapping sites of tonsil,A medical condition known as malignant neoplasm of overlapping sites of tonsil.
C099,"Malignant neoplasm of tonsil, unspecified","A medical condition known as malignant neoplasm of tonsil, unspecified."
C100,Malignant neoplasm of vallecula,A medical condition known as malignant neoplasm of vallecula.
C101,Malignant neoplasm of anterior surface of epiglottis,A medical condition known as malignant neoplasm of anterior surface of epiglottis.
C102,Malignant neoplasm of lateral wall of oropharynx,A medical condition known as malignant neoplasm of lateral wall of oropharynx.
C103,Malignant neoplasm of posterior wall of oropharynx,A medical condition known as malignant neoplasm of posterior wall of oropharynx.
C104,Malignant neoplasm of branchial cleft,A medical condition known as malignant neoplasm of branchial cleft.
C108,Malignant neoplasm of overlapping sites of oropharynx,A medical condition known as malignant neoplasm of overlapping sites of oropharynx.
C109,"Malignant neoplasm of oropharynx, unspecified","A medical condition known as malignant neoplasm of oropharynx, unspecified."
C110,Malignant neoplasm of superior wall of nasopharynx,A medical condition known as malignant neoplasm of superior wall of nasopharynx.
C111,Malignant neoplasm of posterior wall of nasopharynx,A medical condition known as malignant neoplasm of posterior wall of nasopharynx.
C112,Malignant neoplasm of lateral wall of nasopharynx,A medical condition known as malignant neoplasm of lateral wall of nasopharynx.
C113,Malignant neoplasm of anterior wall of nasopharynx,A medical condition known as malignant neoplasm of anterior wall of nasopharynx.
C118,Malignant neoplasm of overlapping sites of nasopharynx,A medical condition known as malignant neoplasm of overlapping sites of nasopharynx.
C119,"Malignant neoplasm of nasopharynx, unspecified","A medical condition known as malignant neoplasm of nasopharynx, unspecified."
C12,Malignant neoplasm of pyriform sinus,A medical condition known as malignant neoplasm of pyriform sinus.
C130,Malignant neoplasm of postcricoid region,A medical condition known as malignant neoplasm of postcricoid region.
C131,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal asp","A medical condition known as malignant neoplasm of aryepiglottic fold, hypopharyngeal asp."
C132,Malignant neoplasm of posterior wall of hypopharynx,A medical condition known as malignant neoplasm of posterior wall of hypopharynx.
C138,Malignant neoplasm of overlapping sites of hypopharynx,A medical condition known as malignant neoplasm of overlapping sites of hypopharynx.
C139,"Malignant neoplasm of hypopharynx, unspecified","A medical condition known as malignant neoplasm of hypopharynx, unspecified."
C140,"Malignant neoplasm of pharynx, unspecified","A medical condition known as malignant neoplasm of pharynx, unspecified."
C142,Malignant neoplasm of Waldeyer's ring,A medical condition known as malignant neoplasm of waldeyer's ring.
C148,"Malignant neoplasm of overlapping sites of lip, oral cavity and","A medical condition known as malignant neoplasm of overlapping sites of lip, oral cavity and."
C153,Malignant neoplasm of upper third of esophagus,A medical condition known as malignant neoplasm of upper third of esophagus.
C154,Malignant neoplasm of middle third of esophagus,A medical condition known as malignant neoplasm of middle third of esophagus.
C159,"Malignant neoplasm of esophagus, unspecified","A medical condition known as malignant neoplasm of esophagus, unspecified."
C160,Malignant neoplasm of cardia,A medical condition known as malignant neoplasm of cardia.
C161,Malignant neoplasm of fundus of stomach,A medical condition known as malignant neoplasm of fundus of stomach.
C162,Malignant neoplasm of body of stomach,A medical condition known as malignant neoplasm of body of stomach.
C163,Malignant neoplasm of pyloric antrum,A medical condition known as malignant neoplasm of pyloric antrum.
C164,Malignant neoplasm of pylorus,A medical condition known as malignant neoplasm of pylorus.
C165,"Malignant neoplasm of lesser curvature of stomach, unspecifi","A medical condition known as malignant neoplasm of lesser curvature of stomach, unspecifi."
C166,"Malignant neoplasm of greater curvature of stomach, unspecif","A medical condition known as malignant neoplasm of greater curvature of stomach, unspecif."
C168,Malignant neoplasm of overlapping sites of stomach,A medical condition known as malignant neoplasm of overlapping sites of stomach.
C169,"Malignant neoplasm of stomach, unspecified","A medical condition known as malignant neoplasm of stomach, unspecified."
C170,Malignant neoplasm of duodenum,A medical condition known as malignant neoplasm of duodenum.
C171,Malignant neoplasm of jejunum,A medical condition known as malignant neoplasm of jejunum.
C172,Malignant neoplasm of ileum,A medical condition known as malignant neoplasm of ileum.
C173,"Meckel's diverticulum, malignant","A medical condition known as meckel's diverticulum, malignant."
C178,Malignant neoplasm of overlapping sites of small intestine,A medical condition known as malignant neoplasm of overlapping sites of small intestine.
C179,"Malignant neoplasm of small intestine, unspecified","A medical condition known as malignant neoplasm of small intestine, unspecified."
C180,Malignant neoplasm of cecum,A medical condition known as malignant neoplasm of cecum.
C181,Malignant neoplasm of appendix,A medical condition known as malignant neoplasm of appendix.
C182,Malignant neoplasm of ascending colon,A medical condition known as malignant neoplasm of ascending colon.
C183,Malignant neoplasm of hepatic flexure,A medical condition known as malignant neoplasm of hepatic flexure.
C184,Malignant neoplasm of transverse colon,A medical condition known as malignant neoplasm of transverse colon.
C185,Malignant neoplasm of splenic flexure,A medical condition known as malignant neoplasm of splenic flexure.
C186,Malignant neoplasm of descending colon,A medical condition known as malignant neoplasm of descending colon.
C187,Malignant neoplasm of sigmoid colon,A medical condition known as malignant neoplasm of sigmoid colon.
C188,Malignant neoplasm of overlapping sites of colon,A medical condition known as malignant neoplasm of overlapping sites of colon.
C189,"Malignant neoplasm of colon, unspecified","A medical condition known as malignant neoplasm of colon, unspecified."
C19,Malignant neoplasm of rectosigmoid junction,A medical condition known as malignant neoplasm of rectosigmoid junction.
C211,Malignant neoplasm of anal canal,A medical condition known as malignant neoplasm of anal canal.
C212,Malignant neoplasm of cloacogenic zone,A medical condition known as malignant neoplasm of cloacogenic zone.
C218,"Malignant neoplasm of overlapping sites of rectum, anus and","A medical condition known as malignant neoplasm of overlapping sites of rectum, anus and."
C220,Liver cell carcinoma,A medical condition known as liver cell carcinoma.
C221,Intrahepatic bile duct carcinoma,A medical condition known as intrahepatic bile duct carcinoma.
C222,Hepatoblastoma,A medical condition known as hepatoblastoma.
C223,Angiosarcoma of liver,A medical condition known as angiosarcoma of liver.
C224,Other sarcomas of liver,A medical condition known as other sarcomas of liver.
C227,Other specified carcinomas of liver,A medical condition known as other specified carcinomas of liver.
C228,"Malignant neoplasm of liver, primary, unspecified as to type","A medical condition known as malignant neoplasm of liver, primary, unspecified as to type."
C229,"Malignant neoplasm of liver, not specified as primary or secon","A medical condition known as malignant neoplasm of liver, not specified as primary or secon."
C23,Malignant neoplasm of gallbladder,A medical condition known as malignant neoplasm of gallbladder.
C240,Malignant neoplasm of extrahepatic bile duct,A medical condition known as malignant neoplasm of extrahepatic bile duct.
C241,Malignant neoplasm of ampulla of Vater,A medical condition known as malignant neoplasm of ampulla of vater.
C248,Malignant neoplasm of overlapping sites of biliary tract,A medical condition known as malignant neoplasm of overlapping sites of biliary tract.
C249,"Malignant neoplasm of biliary tract, unspecified","A medical condition known as malignant neoplasm of biliary tract, unspecified."
C250,Malignant neoplasm of head of pancreas,A medical condition known as malignant neoplasm of head of pancreas.
C251,Malignant neoplasm of body of pancreas,A medical condition known as malignant neoplasm of body of pancreas.
C252,Malignant neoplasm of tail of pancreas,A medical condition known as malignant neoplasm of tail of pancreas.
C253,Malignant neoplasm of pancreatic duct,A medical condition known as malignant neoplasm of pancreatic duct.
C254,Malignant neoplasm of endocrine pancreas,A medical condition known as malignant neoplasm of endocrine pancreas.
C257,Malignant neoplasm of other parts of pancreas,A medical condition known as malignant neoplasm of other parts of pancreas.
C258,Malignant neoplasm of overlapping sites of pancreas,A medical condition known as malignant neoplasm of overlapping sites of pancreas.
C259,"Malignant neoplasm of pancreas, unspecified","A medical condition known as malignant neoplasm of pancreas, unspecified."
C260,"Malignant neoplasm of intestinal tract, part unspecified","A medical condition known as malignant neoplasm of intestinal tract, part unspecified."
C261,Malignant neoplasm of spleen,A medical condition known as malignant neoplasm of spleen.
C269,Malignant neoplasm of ill-defined sites within the digestive sys,A medical condition known as malignant neoplasm of ill-defined sites within the digestive sys.
C310,Malignant neoplasm of maxillary sinus,A medical condition known as malignant neoplasm of maxillary sinus.
C311,Malignant neoplasm of ethmoidal sinus,A medical condition known as malignant neoplasm of ethmoidal sinus.
C312,Malignant neoplasm of frontal sinus,A medical condition known as malignant neoplasm of frontal sinus.
C313,Malignant neoplasm of sphenoid sinus,A medical condition known as malignant neoplasm of sphenoid sinus.
C318,Malignant neoplasm of overlapping sites of accessory sinuses,A medical condition known as malignant neoplasm of overlapping sites of accessory sinuses.
C319,"Malignant neoplasm of accessory sinus, unspecified","A medical condition known as malignant neoplasm of accessory sinus, unspecified."
C320,Malignant neoplasm of glottis,A medical condition known as malignant neoplasm of glottis.
C321,Malignant neoplasm of supraglottis,A medical condition known as malignant neoplasm of supraglottis.
C322,Malignant neoplasm of subglottis,A medical condition known as malignant neoplasm of subglottis.
C323,Malignant neoplasm of laryngeal cartilage,A medical condition known as malignant neoplasm of laryngeal cartilage.
C328,Malignant neoplasm of overlapping sites of larynx,A medical condition known as malignant neoplasm of overlapping sites of larynx.
C329,"Malignant neoplasm of larynx, unspecified","A medical condition known as malignant neoplasm of larynx, unspecified."
C33,Malignant neoplasm of trachea,A medical condition known as malignant neoplasm of trachea.
C3400,Malignant neoplasm of unspecified main bronchus,A medical condition known as malignant neoplasm of unspecified main bronchus.
C3401,Malignant neoplasm of right main bronchus,A medical condition known as malignant neoplasm of right main bronchus.
C3402,Malignant neoplasm of left main bronchus,A medical condition known as malignant neoplasm of left main bronchus.
C3410,"Malignant neoplasm of upper lobe, unspecified bronchus or l","A medical condition known as malignant neoplasm of upper lobe, unspecified bronchus or l."
C3411,"Malignant neoplasm of upper lobe, right bronchus or lung","A medical condition known as malignant neoplasm of upper lobe, right bronchus or lung."
C3412,"Malignant neoplasm of upper lobe, left bronchus or lung","A medical condition known as malignant neoplasm of upper lobe, left bronchus or lung."
C342,"Malignant neoplasm of middle lobe, bronchus or lung","A medical condition known as malignant neoplasm of middle lobe, bronchus or lung."
C3430,"Malignant neoplasm of lower lobe, unspecified bronchus or lu","A medical condition known as malignant neoplasm of lower lobe, unspecified bronchus or lu."
C3431,"Malignant neoplasm of lower lobe, right bronchus or lung","A medical condition known as malignant neoplasm of lower lobe, right bronchus or lung."
C3432,"Malignant neoplasm of lower lobe, left bronchus or lung","A medical condition known as malignant neoplasm of lower lobe, left bronchus or lung."
C3480,Malignant neoplasm of overlapping sites of unspecified bronc,A medical condition known as malignant neoplasm of overlapping sites of unspecified bronc.
C3481,Malignant neoplasm of overlapping sites of right bronchus an,A medical condition known as malignant neoplasm of overlapping sites of right bronchus an.
C3482,Malignant neoplasm of overlapping sites of left bronchus and,A medical condition known as malignant neoplasm of overlapping sites of left bronchus and.
C3490,Malignant neoplasm of unspecified part of unspecified bronc,A medical condition known as malignant neoplasm of unspecified part of unspecified bronc.
C37,Malignant neoplasm of thymus,A medical condition known as malignant neoplasm of thymus.
C380,Malignant neoplasm of heart,A medical condition known as malignant neoplasm of heart.
C381,Malignant neoplasm of anterior mediastinum,A medical condition known as malignant neoplasm of anterior mediastinum.
C382,Malignant neoplasm of posterior mediastinum,A medical condition known as malignant neoplasm of posterior mediastinum.
C383,"Malignant neoplasm of mediastinum, part unspecified","A medical condition known as malignant neoplasm of mediastinum, part unspecified."
C384,Malignant neoplasm of pleura,A medical condition known as malignant neoplasm of pleura.
C388,"Malignant neoplasm of overlapping sites of heart, mediastinu","A medical condition known as malignant neoplasm of overlapping sites of heart, mediastinu."
C390,"Malignant neoplasm of upper respiratory tract, part unspecifie","A medical condition known as malignant neoplasm of upper respiratory tract, part unspecifie."
C399,"Malignant neoplasm of lower respiratory tract, part unspecifie","A medical condition known as malignant neoplasm of lower respiratory tract, part unspecifie."
C4000,Malignant neoplasm of scapula and long bones of unspecified,A medical condition known as malignant neoplasm of scapula and long bones of unspecified.
C4001,Malignant neoplasm of scapula and long bones of right upper,A medical condition known as malignant neoplasm of scapula and long bones of right upper.
C4002,Malignant neoplasm of scapula and long bones of left upper li,A medical condition known as malignant neoplasm of scapula and long bones of left upper li.
C4010,Malignant neoplasm of short bones of unspecified upper limb,A medical condition known as malignant neoplasm of short bones of unspecified upper limb.
C4011,Malignant neoplasm of short bones of right upper limb,A medical condition known as malignant neoplasm of short bones of right upper limb.
C4012,Malignant neoplasm of short bones of left upper limb,A medical condition known as malignant neoplasm of short bones of left upper limb.
C4020,Malignant neoplasm of long bones of unspecified lower limb,A medical condition known as malignant neoplasm of long bones of unspecified lower limb.
C4021,Malignant neoplasm of long bones of right lower limb,A medical condition known as malignant neoplasm of long bones of right lower limb.
C4022,Malignant neoplasm of long bones of left lower limb,A medical condition known as malignant neoplasm of long bones of left lower limb.
C4030,Malignant neoplasm of short bones of unspecified lower limb,A medical condition known as malignant neoplasm of short bones of unspecified lower limb.
C4031,Malignant neoplasm of short bones of right lower limb,A medical condition known as malignant neoplasm of short bones of right lower limb.
C4032,Malignant neoplasm of short bones of left lower limb,A medical condition known as malignant neoplasm of short bones of left lower limb.
C4080,Malignant neoplasm of overlapping sites of bone and articula,A medical condition known as malignant neoplasm of overlapping sites of bone and articula.
C4081,Malignant neoplasm of overlapping sites of bone and articula,A medical condition known as malignant neoplasm of overlapping sites of bone and articula.
C4082,Malignant neoplasm of overlapping sites of bone and articula,A medical condition known as malignant neoplasm of overlapping sites of bone and articula.
C4090,Malignant neoplasm of unspecified bones and articular cartila,A medical condition known as malignant neoplasm of unspecified bones and articular cartila.
C4091,Malignant neoplasm of unspecified bones and articular cartila,A medical condition known as malignant neoplasm of unspecified bones and articular cartila.
C4092,Malignant neoplasm of unspecified bones and articular cartila,A medical condition known as malignant neoplasm of unspecified bones and articular cartila.
C412,Malignant neoplasm of vertebral column,A medical condition known as malignant neoplasm of vertebral column.
C413,"Malignant neoplasm of ribs, sternum and clavicle","A medical condition known as malignant neoplasm of ribs, sternum and clavicle."
C414,"Malignant neoplasm of pelvic bones, sacrum and coccyx","A medical condition known as malignant neoplasm of pelvic bones, sacrum and coccyx."
C419,"Malignant neoplasm of bone and articular cartilage, unspecifie","A medical condition known as malignant neoplasm of bone and articular cartilage, unspecifie."
C430,Malignant melanoma of lip,A medical condition known as malignant melanoma of lip.
C4310,"Malignant melanoma of unspecified eyelid, including canthus","A medical condition known as malignant melanoma of unspecified eyelid, including canthus."
C4311,"Malignant melanoma of right eyelid, including canthus","A medical condition known as malignant melanoma of right eyelid, including canthus."
C4312,"Malignant melanoma of left eyelid, including canthus","A medical condition known as malignant melanoma of left eyelid, including canthus."
C4320,Malignant melanoma of unspecified ear and external auricula,A medical condition known as malignant melanoma of unspecified ear and external auricula.
C4321,Malignant melanoma of right ear and external auricular canal,A medical condition known as malignant melanoma of right ear and external auricular canal.
C4322,Malignant melanoma of left ear and external auricular canal,A medical condition known as malignant melanoma of left ear and external auricular canal.
C4330,Malignant melanoma of unspecified part of face,A medical condition known as malignant melanoma of unspecified part of face.
C4331,Malignant melanoma of nose,A medical condition known as malignant melanoma of nose.
C4339,Malignant melanoma of other parts of face,A medical condition known as malignant melanoma of other parts of face.
C434,Malignant melanoma of scalp and neck,A medical condition known as malignant melanoma of scalp and neck.
C4351,Malignant melanoma of anal skin,A medical condition known as malignant melanoma of anal skin.
C4352,Malignant melanoma of skin of breast,A medical condition known as malignant melanoma of skin of breast.
C4359,Malignant melanoma of other part of trunk,A medical condition known as malignant melanoma of other part of trunk.
C4360,"Malignant melanoma of unspecified upper limb, including sho","A medical condition known as malignant melanoma of unspecified upper limb, including sho."
C4361,"Malignant melanoma of right upper limb, including shoulder","A medical condition known as malignant melanoma of right upper limb, including shoulder."
C4362,"Malignant melanoma of left upper limb, including shoulder","A medical condition known as malignant melanoma of left upper limb, including shoulder."
C4370,"Malignant melanoma of unspecified lower limb, including hip","A medical condition known as malignant melanoma of unspecified lower limb, including hip."
C4371,"Malignant melanoma of right lower limb, including hip","A medical condition known as malignant melanoma of right lower limb, including hip."
C4372,"Malignant melanoma of left lower limb, including hip","A medical condition known as malignant melanoma of left lower limb, including hip."
C438,Malignant melanoma of overlapping sites of skin,A medical condition known as malignant melanoma of overlapping sites of skin.
C439,"Malignant melanoma of skin, unspecified","A medical condition known as malignant melanoma of skin, unspecified."
C4A0,Merkel cell carcinoma of lip,A medical condition known as merkel cell carcinoma of lip.
C464,Kaposi's sarcoma of gastrointestinal sites,A medical condition known as kaposi's sarcoma of gastrointestinal sites.
C4650,Kaposi's sarcoma of unspecified lung,A medical condition known as kaposi's sarcoma of unspecified lung.
C4651,Kaposi's sarcoma of right lung,A medical condition known as kaposi's sarcoma of right lung.
C4652,Kaposi's sarcoma of left lung,A medical condition known as kaposi's sarcoma of left lung.
C467,Kaposi's sarcoma of other sites,A medical condition known as kaposi's sarcoma of other sites.
C469,"Kaposi's sarcoma, unspecified","A medical condition known as kaposi's sarcoma, unspecified."
C470,"Malignant neoplasm of peripheral nerves of head, face and ne","A medical condition known as malignant neoplasm of peripheral nerves of head, face and ne."
C4710,Malignant neoplasm of peripheral nerves of unspecified uppe,A medical condition known as malignant neoplasm of peripheral nerves of unspecified uppe.
C4711,"Malignant neoplasm of peripheral nerves of right upper limb,","A medical condition known as malignant neoplasm of peripheral nerves of right upper limb,."
C4712,"Malignant neoplasm of peripheral nerves of left upper limb, i","A medical condition known as malignant neoplasm of peripheral nerves of left upper limb, i."
C4720,Malignant neoplasm of peripheral nerves of unspecified lowe,A medical condition known as malignant neoplasm of peripheral nerves of unspecified lowe.
C4721,"Malignant neoplasm of peripheral nerves of right lower limb, i","A medical condition known as malignant neoplasm of peripheral nerves of right lower limb, i."
C4722,"Malignant neoplasm of peripheral nerves of left lower limb, in","A medical condition known as malignant neoplasm of peripheral nerves of left lower limb, in."
C473,Malignant neoplasm of peripheral nerves of thorax,A medical condition known as malignant neoplasm of peripheral nerves of thorax.
C474,Malignant neoplasm of peripheral nerves of abdomen,A medical condition known as malignant neoplasm of peripheral nerves of abdomen.
C475,Malignant neoplasm of peripheral nerves of pelvis,A medical condition known as malignant neoplasm of peripheral nerves of pelvis.
C476,"Malignant neoplasm of peripheral nerves of trunk, unspecified","A medical condition known as malignant neoplasm of peripheral nerves of trunk, unspecified."
C478,Malignant neoplasm of overlapping sites of peripheral nerves,A medical condition known as malignant neoplasm of overlapping sites of peripheral nerves.
C479,Malignant neoplasm of peripheral nerves and autonomic nerv,A medical condition known as malignant neoplasm of peripheral nerves and autonomic nerv.
C480,Malignant neoplasm of retroperitoneum,A medical condition known as malignant neoplasm of retroperitoneum.
C481,Malignant neoplasm of specified parts of peritoneum,A medical condition known as malignant neoplasm of specified parts of peritoneum.
C482,"Malignant neoplasm of peritoneum, unspecified","A medical condition known as malignant neoplasm of peritoneum, unspecified."
C488,Malignant neoplasm of overlapping sites of retroperitoneum a,A medical condition known as malignant neoplasm of overlapping sites of retroperitoneum a.
C490,"Malignant neoplasm of connective and soft tissue of head, fac","A medical condition known as malignant neoplasm of connective and soft tissue of head, fac."
C4910,Malignant neoplasm of connective and soft tissue of unspecifi,A medical condition known as malignant neoplasm of connective and soft tissue of unspecifi.
C4911,Malignant neoplasm of connective and soft tissue of right upp,A medical condition known as malignant neoplasm of connective and soft tissue of right upp.
C4912,Malignant neoplasm of connective and soft tissue of left uppe,A medical condition known as malignant neoplasm of connective and soft tissue of left uppe.
C569,Malignant neoplasm of unspecified ovary,A medical condition known as malignant neoplasm of unspecified ovary.
C5700,Malignant neoplasm of unspecified fallopian tube,A medical condition known as malignant neoplasm of unspecified fallopian tube.
C5701,Malignant neoplasm of right fallopian tube,A medical condition known as malignant neoplasm of right fallopian tube.
C5702,Malignant neoplasm of left fallopian tube,A medical condition known as malignant neoplasm of left fallopian tube.
C5710,Malignant neoplasm of unspecified broad ligament,A medical condition known as malignant neoplasm of unspecified broad ligament.
C5711,Malignant neoplasm of right broad ligament,A medical condition known as malignant neoplasm of right broad ligament.
C5712,Malignant neoplasm of left broad ligament,A medical condition known as malignant neoplasm of left broad ligament.
C5720,Malignant neoplasm of unspecified round ligament,A medical condition known as malignant neoplasm of unspecified round ligament.
C5721,Malignant neoplasm of right round ligament,A medical condition known as malignant neoplasm of right round ligament.
C5722,Malignant neoplasm of left round ligament,A medical condition known as malignant neoplasm of left round ligament.
C573,Malignant neoplasm of parametrium,A medical condition known as malignant neoplasm of parametrium.
C574,"Malignant neoplasm of uterine adnexa, unspecified","A medical condition known as malignant neoplasm of uterine adnexa, unspecified."
C577,Malignant neoplasm of other specified female genital organs,A medical condition known as malignant neoplasm of other specified female genital organs.
C578,Malignant neoplasm of overlapping sites of female genital org,A medical condition known as malignant neoplasm of overlapping sites of female genital org.
C579,"Malignant neoplasm of female genital organ, unspecified","A medical condition known as malignant neoplasm of female genital organ, unspecified."
C58,Malignant neoplasm of placenta,A medical condition known as malignant neoplasm of placenta.
C600,Malignant neoplasm of prepuce,A medical condition known as malignant neoplasm of prepuce.
C601,Malignant neoplasm of glans penis,A medical condition known as malignant neoplasm of glans penis.
C602,Malignant neoplasm of body of penis,A medical condition known as malignant neoplasm of body of penis.
C608,Malignant neoplasm of overlapping sites of penis,A medical condition known as malignant neoplasm of overlapping sites of penis.
C609,"Malignant neoplasm of penis, unspecified","A medical condition known as malignant neoplasm of penis, unspecified."
C61,Malignant neoplasm of prostate,A medical condition known as malignant neoplasm of prostate.
C6200,Malignant neoplasm of unspecified undescended testis,A medical condition known as malignant neoplasm of unspecified undescended testis.
C6201,Malignant neoplasm of undescended right testis,A medical condition known as malignant neoplasm of undescended right testis.
C6202,Malignant neoplasm of undescended left testis,A medical condition known as malignant neoplasm of undescended left testis.
